fromuserid,fromusername,activityid,location,placeid,placename,time,username,userid,participant,oid,type,x,y,z
RzlndTFPWTlJWjZ6Lg==                                                                                                                                                                                                                                            ,RzlHQmxxb0dXWFo5TQ==                                                                                                                                                                                                                                            ,RzlDOEU2V2cwbG5SZw==                                                                                                                                                                                                                                            ,01010000009A9999999999C9BF3333333333331640,RzkyMkdUYjkxUmVWTQ==                                                                                                                                                                                                                                            ,RzluSXRXekNCbm14cw==                                                                                                                                                                                                                                            ,2012-02-17T00:49:03+0000                                                                                                                                                                                                                                        ,Rzkwc0dvc25PSHQ1WQ==                                                                                                                                                                                                                                            ,RzlxNkFFNHBZZTZObw==                                                                                                                                                                                                                                            ,"[{""id"": ""Rzk2anZyMzY3QlRVTQ=="", ""name"": ""RzljQmd5OWxQa25pWQ==""}, {""id"": ""RzlrdFNDajA3Y0M0bw=="", ""name"": ""Rzl6UkxLM3VubXZDaw==""}, {""id"": ""RzljcHhWaGRRQkdlVQ=="", ""name"": ""RzlUN0wxRmxSdi5vaw==""}, {""id"": ""RzlJMDBPVmdHSVcyQQ=="", ""name"": ""RzkxdlMxSXNBODBBZw==""}, {""id"": ""RzlNdTh3aVpsTXJoTQ=="", ""name"": ""RzlybXNuckgvbHdhRQ==""}, {""id"": ""RzlUVEVlTDA4ckltbw=="", ""name"": ""Rzl3djN0b0h0Lklvcw==""}, {""id"": ""Rzl3NE80S0IvMHNZLg=="", ""name"": ""RzlWZTBiZ3h1bHpvTQ==""}, {""id"": ""Rzk5WnpSRWtTU3lVdw=="", ""name"": ""RzlhTURoajU0dnFzLg==""}, {""id"": ""RzlxNkFFNHBZZTZObw=="", ""name"": ""Rzkwc0dvc25PSHQ1WQ==""}, {""id"": ""RzltUGU0eU9KWUdGTQ=="", ""name"": ""RzlPaXpsckFleVpmWQ==""}, {""id"": ""RzlFTHZXVnNoeWFvZw=="", ""name"": ""RzkxSjcxN1cweEZTYw==""}, {""id"": ""Rzl5QTRwZlp5Y2VwUQ=="", ""name"": ""RzkxVzh6eHQxT0c5aw==""}, {""id"": ""RzlhYU9RcFJsdXZCRQ=="", ""name"": ""RzlidzZSUVNFT216Yw==""}, {""id"": ""Rzk3c1JBd1c3TDNWQQ=="", ""name"": ""RzlNbEw4ZDdaU1gvbw==""}, {""id"": ""Rzk2T3V1NVNSZVdEaw=="", ""name"": ""Rzk2b3A3WVp2cVg3Ng==""}, {""id"": ""RzlFOFhrOXhWTERJLg=="", ""name"": ""RzlEWG8zOWpEL0cxaw==""}, {""id"": ""RzlEMFpLSFJ5L2dMNg=="", ""name"": ""Rzkyd3k3TUpNRVVLVQ==""}, {""id"": ""RzlEaVgzdUpBMWlFZw=="", ""name"": ""RzlWRGlnTHFHQ0xLbw==""}, {""id"": ""RzlpbEduZngyRkc5bw=="", ""name"": ""RzlOZTE5SVA4VXd4TQ==""}, {""id"": ""RzlianVmT3RBbDJBTQ=="", ""name"": ""RzluMU1aTlpaejNpWQ==""}]",1126,photo                                                                                                                                                                                                                                                           ,-0.2,5.55,35
RzlaZnJZQXpZM2Eycw==                                                                                                                                                                                                                                            ,RzlpYm55M2ZmUDlvQQ==                                                                                                                                                                                                                                            ,RzlaM1Q5TzZITFRWSQ==                                                                                                                                                                                                                                            ,010100000030C8484FE3C15F40BF9B7CA314CB4240,RzlIYVJHUWgyc0Fycw==                                                                                                                                                                                                                                            ,Rzk2S0pDUEJQZmhYSQ==                                                                                                                                                                                                                                            ,2012-02-27T13:42:56+0000                                                                                                                                                                                                                                        ,Rzkwc0dvc25PSHQ1WQ==                                                                                                                                                                                                                                            ,RzlxNkFFNHBZZTZObw==                                                                                                                                                                                                                                            ,"[{""id"": ""RzlxNkFFNHBZZTZObw=="", ""name"": ""Rzkwc0dvc25PSHQ1WQ==""}]",1138,photo                                                                                                                                                                                                                                                           ,127.029,37.5866,34
RzlaZnJZQXpZM2Eycw==                                                                                                                                                                                                                                            ,RzlpYm55M2ZmUDlvQQ==                                                                                                                                                                                                                                            ,RzlVY1ZuTEJPdk1Dcw==                                                                                                                                                                                                                                            ,010100000030C8484FE3C15F40BF9B7CA314CB4240,RzlIYVJHUWgyc0Fycw==                                                                                                                                                                                                                                            ,Rzk2S0pDUEJQZmhYSQ==                                                                                                                                                                                                                                            ,2012-03-19T08:25:05+0000                                                                                                                                                                                                                                        ,Rzkwc0dvc25PSHQ1WQ==                                                                                                                                                                                                                                            ,RzlxNkFFNHBZZTZObw==                                                                                                                                                                                                                                            ,"[{""id"": ""RzlxNkFFNHBZZTZObw=="", ""name"": ""Rzkwc0dvc25PSHQ1WQ==""}]",1152,photo                                                                                                                                                                                                                                                           ,127.029,37.5866,34
RzlxNkFFNHBZZTZObw==                                                                                                                                                                                                                                            ,Rzkwc0dvc25PSHQ1WQ==                                                                                                                                                                                                                                            ,RzlaeERkVzlRMjNOZw==                                                                                                                                                                                                                                            ,01010000004BD445E9D6AD62C09DB377227E104E40,RzlDcTVTLnh5L0ZpTQ==                                                                                                                                                                                                                                            ,Rzl6RXNpcWF6QS5MLg==                                                                                                                                                                                                                                            ,2012-09-23T01:44:56+0000                                                                                                                                                                                                                                        ,Rzkwc0dvc25PSHQ1WQ==                                                                                                                                                                                                                                            ,RzlxNkFFNHBZZTZObw==                                                                                                                                                                                                                                            ,"[{""id"": ""RzlxNkFFNHBZZTZObw=="", ""name"": ""Rzkwc0dvc25PSHQ1WQ==""}]",1532,photo                                                                                                                                                                                                                                                           ,-149.432,60.1288,27
RzlmOXBDUGtFSExHUQ==                                                                                                                                                                                                                                            ,Rzk5My9qY0JBOERqUQ==                                                                                                                                                                                                                                            ,RzlicnJFcTI3RldCMg==                                                                                                                                                                                                                                            ,0101000000200DCA895B7F52C0A8DEA03128614440,RzkyZGFlaWVwV0YzZw==                                                                                                                                                                                                                                            ,RzlSNVNOTGFsV0FBaw==                                                                                                                                                                                                                                            ,2013-01-01T03:32:33+0000                                                                                                                                                                                                                                        ,Rzkwc0dvc25PSHQ1WQ==                                                                                                                                                                                                                                            ,RzlxNkFFNHBZZTZObw==                                                                                                                                                                                                                                            ,"[{""id"": ""RzlmOXBDUGtFSExHUQ=="", ""name"": ""RzlId1oyNkNLMlBsVQ==""}, {""id"": ""RzlBbUV4azJHSVZVcw=="", ""name"": ""RzlWaW9zc3JBWGlpQQ==""}, {""id"": ""Rzk2cnNITi9DVXdVaw=="", ""name"": ""RzluT2xsQW9aU0FrLg==""}, {""id"": ""RzkvanhmUE53L1BpYw=="", ""name"": ""RzlXcjhOTWtoVFJKQQ==""}, {""id"": ""RzlOM0w5dE9wdzlWZw=="", ""name"": ""RzkxMGEzMjd0SU9qMg==""}, {""id"": ""RzluaTV2QWkvZ1JmYw=="", ""name"": ""RzlNMnhWdEtiN2ttQQ==""}, {""id"": ""RzlxNkFFNHBZZTZObw=="", ""name"": ""Rzkwc0dvc25PSHQ1WQ==""}]",1716,photo                                                                                                                                                                                                                                                           ,-73.99,40.759,24
RzlMSGZrUVpoeS9hbw==                                                                                                                                                                                                                                            ,RzludGd0WXhrZTM4TQ==                                                                                                                                                                                                                                            ,RzlLd1V6a2ViVkI4RQ==                                                                                                                                                                                                                                            ,0101000000A44DC4C84A7E52C0F2CB7D065D654440,RzlFU1ZQUy5ueHdLbw==                                                                                                                                                                                                                                            ,RzlKbEhpQjdOdUJabw==                                                                                                                                                                                                                                            ,2012-10-27T05:17:00+0000                                                                                                                                                                                                                                        ,Rzkwc0dvc25PSHQ1WQ==                                                                                                                                                                                                                                            ,RzlxNkFFNHBZZTZObw==                                                                                                                                                                                                                                            ,"[{""id"": ""Rzk2cnNITi9DVXdVaw=="", ""name"": ""RzluT2xsQW9aU0FrLg==""}, {""id"": ""RzlxNkFFNHBZZTZObw=="", ""name"": ""Rzkwc0dvc25PSHQ1WQ==""}, {""id"": ""RzlWa0tWTlhZeVBaZw=="", ""name"": ""RzlqUXl0UE1TYlhsZw==""}]",1579,photo                                                                                                                                                                                                                                                           ,-73.9733,40.7919,26
RzlxNkFFNHBZZTZObw==                                                                                                                                                                                                                                            ,Rzkwc0dvc25PSHQ1WQ==                                                                                                                                                                                                                                            ,RzliejYzY1ZvRHhWbw==                                                                                                                                                                                                                                            ,01010000005917B7D100DEF9BF09F9A067B3AA1A40,RzlVSUVVUVFzUzFmZw==                                                                                                                                                                                                                                            ,RzlGT1B0YllVRC5VTQ==                                                                                                                                                                                                                                            ,2012-02-11T20:29:03+0000                                                                                                                                                                                                                                        ,Rzkwc0dvc25PSHQ1WQ==                                                                                                                                                                                                                                            ,RzlxNkFFNHBZZTZObw==                                                                                                                                                                                                                                            ,"[{""id"": ""Rzk5bWd3eTZja2d5Ng=="", ""name"": ""RzlZYXRIa0dDd0U1UQ==""}, {""id"": ""RzlFYzBaN0c5cGt3QQ=="", ""name"": ""RzlUNTBVVldGSmhMNg==""}, {""id"": ""Rzl6OUlLbHgwYmt2RQ=="", ""name"": ""RzlWNGlHTXlmampXTQ==""}, {""id"": ""RzlQV3U0di84aGh3cw=="", ""name"": ""Rzlxb3lnZUR5SGcxVQ==""}, {""id"": ""RzlkcVBwTjVrRFVVRQ=="", ""name"": ""RzlaNU1sR051Z3hjNg==""}, {""id"": ""Rzl2RVBvWDBySkw2Zw=="", ""name"": ""RzlKNmk4Yk0wUGZ1TQ==""}, {""id"": ""RzlQY3hsMmJ0a094Mg=="", ""name"": ""RzlMWk5pTVpjdU0vcw==""}, {""id"": ""RzlhQncud3VLZVZkQQ=="", ""name"": ""RzlOemNHWVdGMndkZw==""}, {""id"": ""RzlsZVA5OXMvZ0hUbw=="", ""name"": ""RzlxNnlrTHpDcTJmRQ==""}, {""id"": ""Rzk1bUxNeXZtSXlRYw=="", ""name"": ""Rzl5Wmo2ckY5WC5LZw==""}, {""id"": ""RzlYL29CQ205S2p2cw=="", ""name"": ""Rzl0S3lkQm8xMzRqYw==""}, {""id"": ""Rzk0emg0V0gxOUdQaw=="", ""name"": ""Rzlhdm5zWkFtS2VGcw==""}, {""id"": ""RzljRnNzSFZiUll4cw=="", ""name"": ""Rzl0MGVUemt1NEJ2aw==""}, {""id"": ""RzlrZmkuenN5aUJ4SQ=="", ""name"": ""RzlXL0VPTXh2T3poLg==""}, {""id"": ""Rzk3WWRIaGVBM2dOYw=="", ""name"": ""RzlReEtNOGhSemRuSQ==""}, {""id"": ""RzkxTFJBT1JSaGRqQQ=="", ""name"": ""RzlWY0doSUpkT3dWSQ==""}, {""id"": ""RzlIUGxtdVU2Z0h5Ng=="", ""name"": ""RzlBajcuMTZYNENSdw==""}, {""id"": ""Rzl5QTRwZlp5Y2VwUQ=="", ""name"": ""RzkxVzh6eHQxT0c5aw==""}, {""id"": ""RzltUGU0eU9KWUdGTQ=="", ""name"": ""RzlPaXpsckFleVpmWQ==""}, {""id"": ""Rzl5QTRwZlp5Y2VwUQ=="", ""name"": ""RzltaDRoTENkeVQzSQ==""}, {""id"": ""RzlMa3BRbVVFci4xdw=="", ""name"": ""RzkzL1JJeGx3N3FwTQ==""}]",1121,photo                                                                                                                                                                                                                                                           ,-1.6167,6.6667,35
RzlxNkFFNHBZZTZObw==                                                                                                                                                                                                                                            ,Rzkwc0dvc25PSHQ1WQ==                                                                                                                                                                                                                                            ,RzkyVzVMZFguT0pyVQ==                                                                                                                                                                                                                                            ,0101000000FF6184A0D1590B40E491828C81B71940,RzlrTDQzOEF5NnJhZw==                                                                                                                                                                                                                                            ,RzlSVUUyaDFpTTVSUQ==                                                                                                                                                                                                                                            ,2012-02-22T05:18:11+0000                                                                                                                                                                                                                                        ,Rzkwc0dvc25PSHQ1WQ==                                                                                                                                                                                                                                            ,RzlxNkFFNHBZZTZObw==                                                                                                                                                                                                                                            ,"[{""id"": ""RzlxNkFFNHBZZTZObw=="", ""name"": ""Rzkwc0dvc25PSHQ1WQ==""}]",1135,photo                                                                                                                                                                                                                                                           ,3.41886,6.4292,34
Rzk1a3pwNENTZlhnLg==                                                                                                                                                                                                                                            ,RzlURmptZ3JndzZaaw==                                                                                                                                                                                                                                            ,Rzl4VTdqOFk0b3llMg==                                                                                                                                                                                                                                            ,0101000000F9933EE993DA54C03B35F1AC68744140,RzlaOXpwSTNlNS5ISQ==                                                                                                                                                                                                                                            ,Rzk5VHdoM1p3RHdtNg==                                                                                                                                                                                                                                            ,2014-04-28T05:02:04+0000                                                                                                                                                                                                                                        ,Rzl4SGRQdzY2N1FJRQ==                                                                                                                                                                                                                                            ,RzlzQ3NSd2ZFZWozWQ==                                                                                                                                                                                                                                            ,"[{""id"": ""RzllZmNTV2s0OHM5cw=="", ""name"": ""Rzl0M2RFb0l5Q01aQQ==""}, {""id"": ""RzlSLm5SbC8wR2RnTQ=="", ""name"": ""RzlnUnJPek5QamxMVQ==""}, {""id"": ""RzliRGJ6V2d2NDByWQ=="", ""name"": ""RzlkbEU5ZlBJS1pBLg==""}, {""id"": ""RzlzQ3NSd2ZFZWozWQ=="", ""name"": ""Rzl4SGRQdzY2N1FJRQ==""}, {""id"": ""RzkwWHZDZnlyMGJkYw=="", ""name"": ""Rzl6S01RbmRiYjhxRQ==""}, {""id"": ""RzlHbWxBUVYyNEdZTQ=="", ""name"": ""Rzk3WTNQVTZIOWRRRQ==""}, {""id"": ""RzlNZVpabGN0MFZ4cw=="", ""name"": ""Rzk1ZVhWL2RWaU5wcw==""}, {""id"": ""RzkuU2hDVTB6Nzcwcw=="", ""name"": ""RzlBUVBXd0NHRy5rSQ==""}, {""id"": ""RzlaZTVBcEVDVE90bw=="", ""name"": ""Rzl3ajdtd0lTT01tNg==""}, {""id"": ""RzkyejB3YmNpWndUYw=="", ""name"": ""Rzk3cUxheFZWWmhuLg==""}, {""id"": ""RzlnRC5LbFlDSHhscw=="", ""name"": ""RzlDZFNwNm9ySjFEYw==""}, {""id"": ""RzllWGhBU1M3bjJTMg=="", ""name"": ""RzkxSHI1WEVHZnN2dw==""}, {""id"": ""RzlzdkxnWDRzRWdRaw=="", ""name"": ""Rzl6bGNHUTlBWnkwMg==""}, {""id"": ""RzlrQ29uaHpDdmFjSQ=="", ""name"": ""Rzl0enVLaXpwVXJHVQ==""}, {""id"": ""Rzk0emg0V0gxOUdQaw=="", ""name"": ""RzlCb1dBaFVyU3I0Yw==""}, {""id"": ""RzlYcU9tSTRIbzI1bw=="", ""name"": ""RzltZmEvWHQwY3dtLg==""}, {""id"": ""Rzl3RlpoQ08yQkxoNg=="", ""name"": ""RzltRnNieks1YWEuUQ==""}, {""id"": ""RzlJSW5DRDVrSnp5Lg=="", ""name"": ""RzlkRWpWU1BFT3Y4Mg==""}, {""id"": ""RzlPRTAwY1F2SGIuaw=="", ""name"": ""RzkxeTQzcVBiVU5VUQ==""}, {""id"": ""RzljYk5uS252azIyQQ=="", ""name"": ""RzlGeW81bTBMdFJnMg==""}, {""id"": ""RzlSc1pNSlVwRUg3WQ=="", ""name"": ""RzllcUxZeGNWN3dYTQ==""}]",2667,photo                                                                                                                                                                                                                                                           ,-83.4153,34.9094,8
Rzk1a3pwNENTZlhnLg==                                                                                                                                                                                                                                            ,RzlURmptZ3JndzZaaw==                                                                                                                                                                                                                                            ,Rzl4VTdqOFk0b3llMg==                                                                                                                                                                                                                                            ,0101000000F9933EE993DA54C03B35F1AC68744140,RzlaOXpwSTNlNS5ISQ==                                                                                                                                                                                                                                            ,Rzk5VHdoM1p3RHdtNg==                                                                                                                                                                                                                                            ,2014-04-28T05:02:05+0000                                                                                                                                                                                                                                        ,Rzl4SGRQdzY2N1FJRQ==                                                                                                                                                                                                                                            ,RzlzQ3NSd2ZFZWozWQ==                                                                                                                                                                                                                                            ,"[{""id"": ""RzllWGhBU1M3bjJTMg=="", ""name"": ""RzkxSHI1WEVHZnN2dw==""}, {""id"": ""Rzk0emg0V0gxOUdQaw=="", ""name"": ""RzlCb1dBaFVyU3I0Yw==""}, {""id"": ""RzlYcU9tSTRIbzI1bw=="", ""name"": ""RzltZmEvWHQwY3dtLg==""}, {""id"": ""RzlrQ29uaHpDdmFjSQ=="", ""name"": ""Rzl0enVLaXpwVXJHVQ==""}, {""id"": ""Rzl3RlpoQ08yQkxoNg=="", ""name"": ""RzltRnNieks1YWEuUQ==""}, {""id"": ""RzlPRTAwY1F2SGIuaw=="", ""name"": ""RzkxeTQzcVBiVU5VUQ==""}, {""id"": ""RzlSc1pNSlVwRUg3WQ=="", ""name"": ""RzllcUxZeGNWN3dYTQ==""}, {""id"": ""RzljYk5uS252azIyQQ=="", ""name"": ""RzlGeW81bTBMdFJnMg==""}, {""id"": ""RzlJSW5DRDVrSnp5Lg=="", ""name"": ""RzlkRWpWU1BFT3Y4Mg==""}, {""id"": ""RzllZmNTV2s0OHM5cw=="", ""name"": ""Rzl0M2RFb0l5Q01aQQ==""}, {""id"": ""RzlSLm5SbC8wR2RnTQ=="", ""name"": ""RzlnUnJPek5QamxMVQ==""}, {""id"": ""RzliRGJ6V2d2NDByWQ=="", ""name"": ""RzlkbEU5ZlBJS1pBLg==""}, {""id"": ""RzlzQ3NSd2ZFZWozWQ=="", ""name"": ""Rzl4SGRQdzY2N1FJRQ==""}, {""id"": ""RzkwWHZDZnlyMGJkYw=="", ""name"": ""Rzl6S01RbmRiYjhxRQ==""}, {""id"": ""RzlHbWxBUVYyNEdZTQ=="", ""name"": ""Rzk3WTNQVTZIOWRRRQ==""}, {""id"": ""RzlNZVpabGN0MFZ4cw=="", ""name"": ""Rzk1ZVhWL2RWaU5wcw==""}, {""id"": ""RzkuU2hDVTB6Nzcwcw=="", ""name"": ""RzlBUVBXd0NHRy5rSQ==""}, {""id"": ""RzkyejB3YmNpWndUYw=="", ""name"": ""Rzk3cUxheFZWWmhuLg==""}, {""id"": ""RzlnRC5LbFlDSHhscw=="", ""name"": ""RzlDZFNwNm9ySjFEYw==""}, {""id"": ""RzlaZTVBcEVDVE90bw=="", ""name"": ""Rzl3ajdtd0lTT01tNg==""}, {""id"": ""RzlzdkxnWDRzRWdRaw=="", ""name"": ""Rzl6bGNHUTlBWnkwMg==""}]",2668,photo                                                                                                                                                                                                                                                           ,-83.4153,34.9094,8
