oid,peopleid,peoplename,num_node,num_act,num_clique,num_visit,density,sum_dis,triangles,avg_clu,trans
14670,RzlnQm9qWVVjUDZ2dw==                                                                                                                                                                                                                                            ,RzlYQjZCZVRhd3FrMg==                                                                                                                                                                                                                                            ,0,0,0,0,0,0,0,0,0
14672,RzlvZHdtSGxzREJWcw==                                                                                                                                                                                                                                            ,RzlvdUJFVUFOTkRVbw==                                                                                                                                                                                                                                            ,0,0,0,0,0,0,0,0,0
14724,RzlMYjhUZUtsb3d6aw==                                                                                                                                                                                                                                            ,RzlNaDBxbHNpeWFYSQ==                                                                                                                                                                                                                                            ,0,0,0,0,0,0,0,0,0
14762,RzlxNkFFNHBZZTZObw==                                                                                                                                                                                                                                            ,Rzkwc0dvc25PSHQ1WQ==                                                                                                                                                                                                                                            ,51,8,5,8,0.39451,2.45865e+07,51,0.954946,0.846434
14779,RzlhVUNQU3pEOUc0RQ==                                                                                                                                                                                                                                            ,RzlmeG1aTURxYWlGWQ==                                                                                                                                                                                                                                            ,0,0,0,0,0,0,0,0,0
14820,RzlOc0tvSmVmLmhKZw==                                                                                                                                                                                                                                            ,RzkzczlHL3J5OVd1RQ==                                                                                                                                                                                                                                            ,0,0,0,0,0,0,0,0,0
14832,RzlzQ3NSd2ZFZWozWQ==                                                                                                                                                                                                                                            ,Rzl4SGRQdzY2N1FJRQ==                                                                                                                                                                                                                                            ,47,40,14,9,0.421832,577804,47,0.921768,0.837719
14839,RzlBbUV4azJHSVZVcw==                                                                                                                                                                                                                                            ,Rzlycm9LL0puU2RKaw==                                                                                                                                                                                                                                            ,0,0,0,0,0,0,0,0,0
14890,Rzl0OXN3bXBiRkdDLg==                                                                                                                                                                                                                                            ,RzlxUEVuZHBzS1NMSQ==                                                                                                                                                                                                                                            ,0,0,0,0,0,0,0,0,0
14969,RzlxTEh1aW1pN3lDaw==                                                                                                                                                                                                                                            ,RzlMZ0ZtelBqVlZpdw==                                                                                                                                                                                                                                            ,22,10,5,6,0.406926,794162,22,0.904329,0.667401
15011,RzlSRXZiUVVkbzEwbw==                                                                                                                                                                                                                                            ,RzlOTVQwUmdIUG9XMg==                                                                                                                                                                                                                                            ,0,0,0,0,0,0,0,0,0
15030,Rzl2L05XVUZyWGsvWQ==                                                                                                                                                                                                                                            ,RzlvWXVwNEgubDBXTQ==                                                                                                                                                                                                                                            ,0,0,0,0,0,0,0,0,0
15045,Rzlzd3ZSQXpFZDcwLg==                                                                                                                                                                                                                                            ,Rzk1d2dYbE5BMm0xTQ==                                                                                                                                                                                                                                            ,0,0,0,0,0,0,0,0,0
15158,RzlOTmVhaE5TZEJwbw==                                                                                                                                                                                                                                            ,RzlJN3Rlc1R0RDkuRQ==                                                                                                                                                                                                                                            ,0,0,0,0,0,0,0,0,0
15161,RzlISGtMaHM3V21RYw==                                                                                                                                                                                                                                            ,Rzl2ajAwdFZSQTQ3Mg==                                                                                                                                                                                                                                            ,0,0,0,0,0,0,0,0,0
15117,RzlsVk8xU1h5bFNOMg==                                                                                                                                                                                                                                            ,RzlkaUN5VDdwSy9uTQ==                                                                                                                                                                                                                                            ,0,0,0,0,0,0,0,0,0
