oid,placeid,placename,num_node,num_act,num_clique,num_visit,density,triangles,trans,avg_clu
11825,RzkyMkdUYjkxUmVWTQ==                                                                                                                                                                                                                                            ,RzluSXRXekNCbm14cw==                                                                                                                                                                                                                                            ,22,1,1,1,1,22,1,1
11831,RzlIYVJHUWgyc0Fycw==                                                                                                                                                                                                                                            ,Rzk2S0pDUEJQZmhYSQ==                                                                                                                                                                                                                                            ,3,2,1,2,1,3,1,1
11974,RzlDcTVTLnh5L0ZpTQ==                                                                                                                                                                                                                                            ,Rzl6RXNpcWF6QS5MLg==                                                                                                                                                                                                                                            ,2,1,1,1,1,2,0,0
12070,RzkyZGFlaWVwV0YzZw==                                                                                                                                                                                                                                            ,RzlSNVNOTGFsV0FBaw==                                                                                                                                                                                                                                            ,9,1,1,1,1,9,1,1
11996,RzlFU1ZQUy5ueHdLbw==                                                                                                                                                                                                                                            ,RzlKbEhpQjdOdUJabw==                                                                                                                                                                                                                                            ,5,1,1,1,1,5,1,1
11821,RzlVSUVVUVFzUzFmZw==                                                                                                                                                                                                                                            ,RzlGT1B0YllVRC5VTQ==                                                                                                                                                                                                                                            ,22,1,1,1,1,22,1,1
11828,RzlrTDQzOEF5NnJhZw==                                                                                                                                                                                                                                            ,RzlSVUUyaDFpTTVSUQ==                                                                                                                                                                                                                                            ,2,1,1,1,1,2,0,0
12371,RzlaOXpwSTNlNS5ISQ==                                                                                                                                                                                                                                            ,Rzk5VHdoM1p3RHdtNg==                                                                                                                                                                                                                                            ,32,14,5,2,0.808468,32,0.929904,0.945478
12374,RzlWWjBUaXVTOXI0Yw==                                                                                                                                                                                                                                            ,RzlLMWpQMFZXZHZJUQ==                                                                                                                                                                                                                                            ,5,8,1,1,1,5,1,1
12406,RzlqSHo3LnJGcnMwRQ==                                                                                                                                                                                                                                            ,RzlaMy4vSi5QWldQWQ==                                                                                                                                                                                                                                            ,6,10,1,2,1,6,1,1
11609,RzlrSm1XSFRWSVE2Mg==                                                                                                                                                                                                                                            ,RzlGalV2VDR2Z29YLg==                                                                                                                                                                                                                                            ,108,70,33,22,0.0553825,108,0.862755,0.887832
11762,RzltdTZxR3kuOC9wZw==                                                                                                                                                                                                                                            ,RzlHeVpNcmVGQVRILg==                                                                                                                                                                                                                                            ,11,3,2,2,0.672727,11,1,0.818182
11894,RzlXVmJvNjE5L0F3QQ==                                                                                                                                                                                                                                            ,RzlEQVFmNGxLRFpBTQ==                                                                                                                                                                                                                                            ,10,3,3,2,0.422222,10,0.894737,0.94
12407,Rzk4U1hDRGFQQ0I1Yw==                                                                                                                                                                                                                                            ,RzlIVWlwTXAydVhIQQ==                                                                                                                                                                                                                                            ,3,1,1,1,1,3,1,1
12409,RzkzWDdramRybTFxNg==                                                                                                                                                                                                                                            ,RzlsUVdUUjFtZHhqcw==                                                                                                                                                                                                                                            ,8,1,1,1,1,8,1,1
11604,RzltQzF4YnBSenRRNg==                                                                                                                                                                                                                                            ,RzlWZk02ZXNmbWs3VQ==                                                                                                                                                                                                                                            ,5,5,1,1,1,5,1,1
11597,RzlyRE9yUUlTbHFMZw==                                                                                                                                                                                                                                            ,Rzk0dTlTd25ydGo3VQ==                                                                                                                                                                                                                                            ,12,2,2,2,0.636364,12,0.826087,0.927273
11924,RzkzL1lMYkI0czgvNg==                                                                                                                                                                                                                                            ,RzlXd2NKS1hld2dKdw==                                                                                                                                                                                                                                            ,9,1,1,1,1,9,1,1
11605,RzkwanhCdS4ueS9Jcw==                                                                                                                                                                                                                                            ,RzlJRjBteDMxRTFFLg==                                                                                                                                                                                                                                            ,3,1,1,1,1,3,1,1
